0,,"《弱化の治療》かい？
よしきた、気合入れて治療するよ
<VAL PRICE_WEAK>だけど、いいかな","""Treat Weakness,"" huh?
Alright, I'll put my fighting spirit into the
treatment.
It's <VAL PRICE_WEAK>, but is that okay?",ui\00_message\npc\base\n2850.gmd,\npc\n2850.arc,n2850.arc,7,Felix
0,,はい,OK,ui\00_message\npc\base\n2850.gmd,\npc\n2850.arc,n2850.arc,8,Felix
0,,いいえ,Cancel,ui\00_message\npc\base\n2850.gmd,\npc\n2850.arc,n2850.arc,9,Felix
0,,"んー、弱化してないけどな
ほら、気持ちの問題じゃないか？
ちょっとそこら辺で好みの子に
声かけてこれば気も晴れるよ、きっと","Well, you haven't weakened, you know. It's all
about the state of mind, isn't it?
Just try talking to someone you like around here,
and your spirits will lift for sure.",ui\00_message\npc\base\n2850.gmd,\npc\n2850.arc,n2850.arc,10,Felix
0,,"どっかに可愛い子いたら教えてくれよ
こんな時だからこそ、楽しみが必要さ！","If you find a cute girl somewhere, let me know.
Especially at times like this, we need something
to look forward to!",ui\00_message\npc\base\n2850.gmd,\npc\n2850.arc,n2850.arc,11,Felix
0,,"ちょっと微笑んでくれる可愛い子が
いるってだけで毎日頑張れるってもんだろ？　
ホント、それだけでいいんだよな～","Just having a cute girl who smiles at me makes me
able to do my best every day.
Really, that's all I need～",ui\00_message\npc\base\n2850.gmd,\npc\n2850.arc,n2850.arc,12,Felix
0,,"まぁ、どんなに可愛い子がいても
俺のフィアンセには適わないだろうけど――","Well, no matter how cute of a girl, she wouldn't
be suitable as my fiancee--",ui\00_message\npc\base\n2850.gmd,\npc\n2850.arc,n2850.arc,13,Felix
0,,"嫌がってたけど、村に残してきたんだよな
だって、こんなとこに連れてくるのも危ないだろ
あいつからは少しの危険だって
遠ざけておきたかったんだ","I know they didn't want to, but they left me
behind in the village.
Because it's dangerous to bring me to a place
like this, right?
I just wanted to keep a little distance from
them, even if it meant a small danger.",ui\00_message\npc\base\n2850.gmd,\npc\n2850.arc,n2850.arc,14,Felix
0,,"いらっしゃいませ
幅広く取り揃えてますよ","Welcome.
We have a wide variety of items.",ui\00_message\npc\base\n2851.gmd,\npc\n2851.arc,n2851.arc,0,Emil
0,,"いや、恐ろしいことになりましたね――
ティネス砦を奪還できたのは嬉しいことですが
ここもまたいつ魔軍に攻め込まれるか","No, it's become quite terrifying――
While it's good that we were able to retake Fort
Thines,
we never know when the Demon Army will attack
here again.",ui\00_message\npc\base\n2851.gmd,\npc\n2851.arc,n2851.arc,1,Emil
0,,"まぁ、私には昔からやってる
商売くらいしかできませんから
やれることをやるだけです","Well, since I've been doing business for as long
as I can remember, I can't do anything else but
that.
I'll just do what I can.",ui\00_message\npc\base\n2851.gmd,\npc\n2851.arc,n2851.arc,2,Emil
0,,"先祖代々、商いをやってきとります
こうしてやれることをやることが
今私らに一番大切なことじゃないですかね","Throughout generations, we have been engaged in
business.
Isn't it the most important thing for us now to
do what we can do?",ui\00_message\npc\base\n2851.gmd,\npc\n2851.arc,n2851.arc,3,Emil
0,,"あら、覚者様
新しい武具がご入用でしょうか","Oh, Ser Arisen.
Do you need new equipment?",ui\00_message\npc\base\n2852.gmd,\npc\n2852.arc,n2852.arc,0,Iruva
0,,"ティネス砦を取り戻せたのも
覚者様のお力あってのことと聞いております
ありがとうございます","We've heard that Fort Thines was retaken, thanks
to the power of the Arisen. Thank you.",ui\00_message\npc\base\n2852.gmd,\npc\n2852.arc,n2852.arc,1,Iruva
0,,"今まで良いニュースなんて一つもありませんでした
覚者様が来てくださってから、何だか
希望が見えてきたような気がします","Until now, there hasn't been a single piece of
good news.
But ever since the Arisen arrived, it feels like
we've glimpsed some hope.",ui\00_message\npc\base\n2852.gmd,\npc\n2852.arc,n2852.arc,2,Iruva
0,,"色々取り揃えております
どうぞ見ていってくださいね","We have a variety of items available. Please take
a look.",ui\00_message\npc\base\n2852.gmd,\npc\n2852.arc,n2852.arc,3,Iruva
0,,"あっ、ハイ！
同行者をお探しでしょうか、覚者様","Ah, yes! Are you looking for a companion, Ser
Arisen?",ui\00_message\npc\base\n2853.gmd,\npc\n2853.arc,n2853.arc,0,Aslan
0,,同行者をお探しでしたら、僕がお役に立てますよ！,"If you're looking for a companion, I can be of
help!",ui\00_message\npc\base\n2853.gmd,\npc\n2853.arc,n2853.arc,1,Aslan
0,,"足の速さにはちょっと自信があるんです
人探しなんかも得意なんですよ","I have a little confidence in my speed, you know.
I'm also good at searching for people.",ui\00_message\npc\base\n2853.gmd,\npc\n2853.arc,n2853.arc,2,Aslan
0,,"覚者様に話しかけていただけるなんて
この任務について良かったです！","Arisen, please talk to me about the matter of
""Blood Orbs"" whenever you need to exchange them.",ui\00_message\npc\base\n2853.gmd,\npc\n2853.arc,n2853.arc,3,Aslan
0,,"あ、覚者様じゃないですか
何のご用でしょうか","Oh, it's the Arisen, isn't it? How may I assist
you?",ui\00_message\npc\base\n2854.gmd,\npc\n2854.arc,n2854.arc,0,Ricardo
0,,"――ハァ
い、いえ、何でもありません！
申し訳ございません","- *Sigh*
N-No, it's nothing! I apologize.",ui\00_message\npc\base\n2854.gmd,\npc\n2854.arc,n2854.arc,1,Ricardo
0,,"ちょっと――最近眠れなくて
ハッ、も、申し訳ございません
覚者様にお話するようなことではありませんでした","Just a moment... I've been having trouble
sleeping lately.
Uh, I'm sorry, that's not something to discuss
with someone like you, Arisen.",ui\00_message\npc\base\n2854.gmd,\npc\n2854.arc,n2854.arc,2,Ricardo
0,,"い、今までずっと先輩と一緒だったんですが
任地が分かれてしまいまして――
オレ一人では、何とも――","Well, I've always been with my senior until now,
but our assignments were separated.
I'm not sure if I can manage by myself.",ui\00_message\npc\base\n2854.gmd,\npc\n2854.arc,n2854.arc,3,Ricardo
0,,ああ、覚者さまじゃないか！,"Oh, it's the Arisen!",ui\00_message\npc\base\n2855.gmd,\npc\n2855.arc,n2855.arc,0,Leeza
0,,"ティネス砦は覚者さまのお陰で
奪還できたようなところだからね！
また奪われないように、こうして見張ってるよ","Fort Thines was retaken thanks to your help,
Arisen! We're here to prevent it from being taken
again.",ui\00_message\npc\base\n2855.gmd,\npc\n2855.arc,n2855.arc,1,Leeza
0,,"リキャルドのヤツ、顔真っ青だろ
まぁ仕方ないよねぇ
戦に向いてないんだろうね、可哀想なもんだよ","Ricardo looks pale, doesn't he? Well, it can't be
helped.
He's not cut out for battle, poor guy.",ui\00_message\npc\base\n2855.gmd,\npc\n2855.arc,n2855.arc,2,Leeza
0,,"もし敵が攻めてきたらさ、アタシがまず
ここで少しでも時間を稼いで――
その間にリキャルドに門を閉めるように
言ってあるんだ","If the enemy attacks, I'll try to buy some time
here, and during that time, I've told Ricardo to
close the gate.",ui\00_message\npc\base\n2855.gmd,\npc\n2855.arc,n2855.arc,3,Leeza
0,,"ああ、覚者さん
どうかしたか？","Ah, Arisen, is there something you need?",ui\00_message\npc\base\n2856.gmd,\npc\n2856.arc,n2856.arc,0,Alvin
0,,"俺の調子？
まぁまぁだな
絶好調でも、特に悪いわけでもない
見たところ覚者さんもそうだろ","How am I doing?
I'm doing okay.
I'm not in perfect condition, but I'm not
particularly bad either.
It seems like you're the same, Arisen.",ui\00_message\npc\base\n2856.gmd,\npc\n2856.arc,n2856.arc,1,Alvin
0,,"色々あったし、これからもあるだろうけど
悩んだところで仕方ないからな――","There have been various things, and there will be
more in the future, but there's no use in worrying
about it ――",ui\00_message\npc\base\n2856.gmd,\npc\n2856.arc,n2856.arc,2,Alvin
0,,"覚者さんも色々あると思うけど
あんまり思い悩むより
割り切っていった方がいいぜ","Arisen, I think there are various things that
even those who have awakened go through.
Instead of worrying too much, it's better to
accept and move on.",ui\00_message\npc\base\n2856.gmd,\npc\n2856.arc,n2856.arc,3,Alvin
0,,"ああ、覚者さまですか
いえ、避難してきた人たちが可哀想でね――
私に何かできれば良いのですが","Ah, are you an Arisen, my Lord?
No, it's just that the people who have taken
refuge here are so pitiful...
If there's anything I can do to help, please let
me know.",ui\00_message\npc\base\n2857.gmd,\npc\n2857.arc,n2857.arc,0,Zeki
0,,"家を焼け出され、財産を全て失い
家族すら亡くしてここに駆け込んでくる人が
いるんですよ――気の毒としか言いようがない","They have lost their homes, all their
possessions, and even their families, and yet they
come running here... There's no other way to
describe it but unfortunate.",ui\00_message\npc\base\n2857.gmd,\npc\n2857.arc,n2857.arc,1,Zeki
0,,"どうにか避難してきた人たちの力に
なりたいんですが、この砦はまだまだ物資も
人手も不足していますからな
ままならないものです","I want to be of help to the people who managed to
take shelter here, but this fort is still lacking
in supplies and manpower.
It's not in a good state.",ui\00_message\npc\base\n2857.gmd,\npc\n2857.arc,n2857.arc,2,Zeki
0,,"広場にいるミカエラなど
あの幼さで親も兄弟も亡くしているのですよ
家族の話をすると、目に涙をいっぱい溜めて――","People like Michaela in the plaza, she lost her
parents and siblings at such a young age.
When she talks about her family, tears fill her
eyes...",ui\00_message\npc\base\n2857.gmd,\npc\n2857.arc,n2857.arc,3,Zeki
0,,"どうかなさいましたか、覚者様
こちらは特に問題ありませんが――","What's wrong, Lord? We don't have any particular
problems here...",ui\00_message\npc\base\n2858.gmd,\npc\n2858.arc,n2858.arc,0,Ines
0,,"魔軍に占領されていた間に
この砦もかなり傷んでしまいました
まだ完全に復旧していないところも
あるようですね","While occupied by the Demon Army, this fortress
has also sustained considerable damage.
There are still parts that have not been
completely restored it seems.",ui\00_message\npc\base\n2858.gmd,\npc\n2858.arc,n2858.arc,1,Ines
0,,"私も工事を手伝っていますが
この砦が完全にかつての姿に戻るまでは
時間がかかるでしょう――","I'm also assisting with the construction, but it
will take time for this fortress to fully return
to its former glory.",ui\00_message\npc\base\n2858.gmd,\npc\n2858.arc,n2858.arc,2,Ines
0,,"仮組の足場には手すりがありません
足を滑らせないよう気を付けてくださいね
いくら覚者様でも、この高さですから","Be careful as there are no handrails on the
temporary scaffolding.
It's a long way down, even for the Arisen.",ui\00_message\npc\base\n2858.gmd,\npc\n2858.arc,n2858.arc,3,Ines
0,,"はいはい、何でしょうか
自分でお役に立てることならお手伝いします","Alright, alright, what can I help you with? If
there's anything I can assist with, I'll be happy
to.",ui\00_message\npc\base\n2859.gmd,\npc\n2859.arc,n2859.arc,0,Bart
0,,,,ui\00_message\npc\base\n2859.gmd,\npc\n2859.arc,n2859.arc,1,
0,,"自分は家も家具も、丸ごと
全部焼かれちまいましたから
また一つ一つ揃えるところからですよ","I lost everything in the fire – my house,
furniture, everything. I'll have to start
gathering things one by one.",ui\00_message\npc\base\n2859.gmd,\npc\n2859.arc,n2859.arc,2,Bart
0,,"何の取り柄もないんでね、こうやって
兵士の皆さんの雑用でもやって
ちょっとずつ生きてく道を探っとかないとね","I don't have any particular talents, so I'm
helping out with various odd jobs for the
soldiers, slowly finding a way to live.",ui\00_message\npc\base\n2859.gmd,\npc\n2859.arc,n2859.arc,3,Bart
0,,"まだまだ故郷に帰れる状況じゃありませんけど
いつかまた、生まれ育った村に家を建てたいんです
それだけが自分の夢ですよ、ははは","It's still not a situation where I can return to
my hometown.
But someday, I want to build a house in the
village where I was born and raised.
That's the only dream I have, hahaha.",ui\00_message\npc\base\n2859.gmd,\npc\n2859.arc,n2859.arc,4,Bart
0,,"こんにちは、覚者さま
えっと、ミカエラです","Hello, Ser Arisen.
Um, I'm Michaela.",ui\00_message\npc\base\n2860.gmd,\npc\n2860.arc,n2860.arc,0,Michaela
0,,"あのお歌を教えてくれたのが
王子さまだったなんて、知らなかったの","I didn't know that the prince was the one who
taught me that song.
",ui\00_message\npc\base\n2860.gmd,\npc\n2860.arc,n2860.arc,1,Michaela
0,,"王子さまはとっても優しかったよ
わたしが泣いてたから
ずっとそばにいてくれた","The prince was very kind.
He stayed by my side the whole time I was crying.",ui\00_message\npc\base\n2860.gmd,\npc\n2860.arc,n2860.arc,2,Michaela
0,,"ほんとはね、今も、ひとりでさみしい――
でも、助けてもらったんだから
わたしも頑張ります","Honestly, I still feel lonely now – but since
you've helped me, I'll do my best.",ui\00_message\npc\base\n2860.gmd,\npc\n2860.arc,n2860.arc,3,Michaela
0,,"あー、見つかっちゃったか
隠れてるつもりだったんだけどなぁ","Ah, it seems I've been found out. I thought I was
hiding well.",ui\00_message\npc\base\n2861.gmd,\npc\n2861.arc,n2861.arc,0,Enf
0,,"砦に入れてもらえたのはいいんだけど
人手が足りないからってさ
鎧着せられそうになってびっくりしたよ","I'm glad they let me into the fortress, but I was
surprised when they tried to put armor on me
because they're short-staffed.",ui\00_message\npc\base\n2861.gmd,\npc\n2861.arc,n2861.arc,1,Enf
0,,"僕、大きい音がダメになっちゃってさ
血の臭いとかも――
絶対、気が遠くなってくるんだ
弱虫だろ","I can't handle loud noises, you know.
Even the smell of blood...
It makes me feel dizzy.
I'm such a coward.",ui\00_message\npc\base\n2861.gmd,\npc\n2861.arc,n2861.arc,2,Enf
0,,"覚者さんはいいなぁ
血が出ても、ちょっとくらいなら死なないんだろ
僕の姉さんはあっという間に顔が
真っ白になっちゃってさ――","Arisen are amazing, aren't they?
Even if they bleed, they probably won't die from
just a little.
My older sister's face turned completely pale in
an instant...",ui\00_message\npc\base\n2861.gmd,\npc\n2861.arc,n2861.arc,3,Enf
0,,"あら、覚者様！
砦奪還の英雄じゃないですか","Oh, Ser Arisen!
You're the hero who recaptured the fortress,
aren't you?",ui\00_message\npc\base\n2862.gmd,\npc\n2862.arc,n2862.arc,0,Seda
0,,"お聞きになった？
あそこにいるミカエラっていう女の子
あの子の歌から、ネド王子のご存命が
わかったそうですわよ","Did you hear about it? Thanks to that girl
Michaela over there, we learned that Prince Nedo's
alive from her song.",ui\00_message\npc\base\n2862.gmd,\npc\n2862.arc,n2862.arc,1,Seda
0,,"ここにいる武装してる人たちってね
元々軍属だった兵士さんもいれば
兵士も民間人も寄せ集めで武装したっていう
解放軍の戦士さんもいるらしいですよ","The armed individuals here, you see, include not
only former military personnel, but also a mix of
soldiers and civilians who armed themselves.
There are even warriors from the Liberation Army,
it seems.",ui\00_message\npc\base\n2862.gmd,\npc\n2862.arc,n2862.arc,2,Seda
0,,"私、ここに寄せてもらう前は
近くの洞窟の入り口で雨風を
しのいでたんです――
薄気味悪くて堪らなかったわね――","Before I came here, I was taking shelter at the
entrance of a nearby cave to escape from the rain
and wind ――
It was creepy and unbearable――",ui\00_message\npc\base\n2862.gmd,\npc\n2862.arc,n2862.arc,3,Seda
0,,"あら、覚者さま
こんなところにまで、どうされました？","Oh, Ser Arisen. What brings you to this place?",ui\00_message\npc\base\n2880.gmd,\npc\n2880.arc,n2880.arc,0,Tabitha
0,,"オークに捕らわれた人たちを
解放してあげることができて良かった――
危ないところでしたから","I'm glad I could free the people captured by the
orcs – it was a dangerous situation.",ui\00_message\npc\base\n2880.gmd,\npc\n2880.arc,n2880.arc,1,Tabitha
0,,"捕らわれていた人たちは
まだ深く傷ついていて――
無理もないことです","The people who were captured are still deeply
wounded, and it's completely understandable.",ui\00_message\npc\base\n2880.gmd,\npc\n2880.arc,n2880.arc,2,Tabitha
0,,"兵士である私がここに残ることで
みなさん、少しは気持ちが安らぐようですよ","By remaining here as a soldier, I hope it can
bring some peace of mind to all of you.",ui\00_message\npc\base\n2880.gmd,\npc\n2880.arc,n2880.arc,3,Tabitha
0,,"ああ、覚者様
様子を見に来てくださったのですか？","Oh, Arisen, have you come to check on the
situation?",ui\00_message\npc\base\n2881.gmd,\npc\n2881.arc,n2881.arc,0,Youin
0,,"この村が解放されたのも
覚者様のお陰と聞いております
ありがとうございます","I have heard that this village was liberated
thanks to the Arisen.
Thank you.",ui\00_message\npc\base\n2881.gmd,\npc\n2881.arc,n2881.arc,1,Youin
0,,"まだ気疲れが取れませんでな
いえ、覚者様に気にしていただくようなことでは――","I still can't shake off my fatigue. No, it's not
something for the Arisen to worry about...",ui\00_message\npc\base\n2881.gmd,\npc\n2881.arc,n2881.arc,2,Youin
0,,"もう、捕らわれていた時は
色々と覚悟をしていましたので――
まだ緊張が抜けないと言いますか、ね――","Even when I was captured, I was prepared for
various things. I can't say the tension has
completely eased.",ui\00_message\npc\base\n2881.gmd,\npc\n2881.arc,n2881.arc,3,Youin
0,,やぁ、覚者様じゃないですか,"Oh, if it isn't the Arisen!",ui\00_message\npc\base\n2882.gmd,\npc\n2882.arc,n2882.arc,0,Ethan
0,,"こうして暮らしていけるのも
この村を解放してくださったお陰ですよ","We are able to live like this thanks to the
liberation of this village.",ui\00_message\npc\base\n2882.gmd,\npc\n2882.arc,n2882.arc,1,Ethan
0,,"これから、ですか？
――いえ、以前と同じように暮らしていきます","From now on?
――No, we will continue to live as we did before.",ui\00_message\npc\base\n2882.gmd,\npc\n2882.arc,n2882.arc,2,Ethan
0,,"囚われている間、ずっと
前みたいに暮らしたいって思ってたんです
地味な生活、大いに結構ですよ","While I was imprisoned, I kept thinking I wanted
to live like I used to. A simple life is more than
fine.",ui\00_message\npc\base\n2882.gmd,\npc\n2882.arc,n2882.arc,3,Ethan
0,,"働いて、食べて、寝る
これ以外のことは今のところ
何も望んじゃいません","Work, eat, sleep – I don't want anything else for
now.",ui\00_message\npc\base\n2882.gmd,\npc\n2882.arc,n2882.arc,4,Ethan
0,,"ふぅ――
あ、ハイハイ！　何がご入用でしょう？","Phew, uh, yes, what can I assist you with?",ui\00_message\npc\base\n2883.gmd,\npc\n2883.arc,n2883.arc,0,Lucinda
0,,"そりゃ、辛いことも疲れも溜まってますけどね
働かないことには、ねぇ","Well, even with the hardships and exhaustion, we
can't just sit around doing nothing, can we?",ui\00_message\npc\base\n2883.gmd,\npc\n2883.arc,n2883.arc,1,Lucinda
0,,"うちの店、どうです？
よそのお店ってもっと品揃えが
良かったりするのかしら――","How do you like our shop? I wonder if other shops
have better selections.",ui\00_message\npc\base\n2883.gmd,\npc\n2883.arc,n2883.arc,2,Lucinda
0,,"セイディは――
セイディは、私の姪なんです","Sadie is...
Sadie is my niece.",ui\00_message\npc\base\n2883.gmd,\npc\n2883.arc,n2883.arc,3,Lucinda
0,,だから、私が替わりに育ててやれたらって――,That's why I wanted to take care of her instead...,ui\00_message\npc\base\n2883.gmd,\npc\n2883.arc,n2883.arc,4,Lucinda
0,,覚者さま、こんにちは,"Ser Arisen, hello.",ui\00_message\npc\base\n2884.gmd,\npc\n2884.arc,n2884.arc,0,Sadie
0,,オークは臭いからキライ,I hate Orcs because they smell.,ui\00_message\npc\base\n2884.gmd,\npc\n2884.arc,n2884.arc,1,Sadie
0,,"檻の中に入れられたの、すごく嫌だった
覚者さまが助けてくれたんだよね","I really hated being put in a cage.
Ser Arisen, thank you for saving me.",ui\00_message\npc\base\n2884.gmd,\npc\n2884.arc,n2884.arc,2,Sadie
0,,"ねぇ、覚者さま
ママを知らない？
わたし、ママと違うところに閉じ込められてたの","Hey, Arisen. Do you know where my mom is?
I was kept somewhere different from her.",ui\00_message\npc\base\n2884.gmd,\npc\n2884.arc,n2884.arc,3,Sadie
0,,はい、何でしょう,"Yes, what is it?",ui\00_message\npc\base\n2890.gmd,\npc\n2890.arc,n2890.arc,0,Curtis
0,,"そうですね、一応は私が
ここの守備責任者ということになります","Well, I suppose for now, I will be in charge of
the defense here.",ui\00_message\npc\base\n2890.gmd,\npc\n2890.arc,n2890.arc,1,Curtis
0,,"――ああ、エディの言うことは
気になさらないでください","- Please don't worry about what Eddie says, okay?",ui\00_message\npc\base\n2890.gmd,\npc\n2890.arc,n2890.arc,2,Curtis
0,,"どこも物資、人手共に不足しています
ギリギリですが、あるもので
どうにかするしかないでしょう――","Supplies and manpower are scarce everywhere.
We're barely managing, but we have no choice but
to make do with what we have until...",ui\00_message\npc\base\n2890.gmd,\npc\n2890.arc,n2890.arc,3,Curtis
0,,"おおっ、覚者様
何かご用でしょうか！","Oh, Arisen!
What can I do for you?",ui\00_message\npc\base\n2891.gmd,\npc\n2891.arc,n2891.arc,0,Eddie
0,,"早く手柄を立てて、カーティス隊長の
自慢の部下になりたいんですよ","I want to quickly accomplish great feats and
become Captain Curtis' proudest subordinate.",ui\00_message\npc\base\n2891.gmd,\npc\n2891.arc,n2891.arc,1,Eddie
0,,"いえね、俺ってこう見えて
元は木こりやってたんですよ
でも解放軍に入って、これは運命かも知れないって","Actually, I used to be a lumberjack. But now I'm
in the Liberation Army, so this might be fate.",ui\00_message\npc\base\n2891.gmd,\npc\n2891.arc,n2891.arc,2,Eddie
0,,"もう何でもいいから
とにかく手柄立てられないかな――","I don't care about anything anymore, so could I
at least achieve some kind of accomplishment...",ui\00_message\npc\base\n2891.gmd,\npc\n2891.arc,n2891.arc,3,Eddie
0,,"あー、はいはい
何が必要ですかね","Ah, yes, yes.
What do you need?",ui\00_message\npc\base\n2892.gmd,\npc\n2892.arc,n2892.arc,0,Sean
0,,"ああ、道具類の手入れはこまめにしてますよ
きっちり使えますんで、安心して
買ってってください","Ah, I regularly maintain and take care of my
tools, so you can rest assured. Please go ahead
and purchase them.",ui\00_message\npc\base\n2892.gmd,\npc\n2892.arc,n2892.arc,1,Sean
