0,,"昨日、鳥かごを掃除している時に
ヒルティが飛んで行ってしまったの","Yesterday, when I was cleaning the birdcage,
Hilty flew away.",ui\00_message\event\st0213\ev020.gmd,\event\st0213\st0213ev020.arc,st0213ev020.arc,0,
0,,"いつもはわたしの肩でおとなしく
しているのに昨日に限って――","He usually stays quietly on my shoulder,
but just yesterday...",ui\00_message\event\st0213\ev020.gmd,\event\st0213\st0213ev020.arc,st0213ev020.arc,1,
0,,"パメラとあちこちを探したけど
全然見つからなくて――","I searched everywhere with Pamela,
but I couldn't find him at all...",ui\00_message\event\st0213\ev020.gmd,\event\st0213\st0213ev020.arc,st0213ev020.arc,2,
0,,"夜通し、眠らずに待っていたのね
そしたら、今朝になって帰ってきたんだ","I waited all night without sleep,
and then he came back this morning.",ui\00_message\event\st0213\ev020.gmd,\event\st0213\st0213ev020.arc,st0213ev020.arc,3,
0,,ホッとしたんだけど、ほら、見て――,"I was relieved, but look—",ui\00_message\event\st0213\ev020.gmd,\event\st0213\st0213ev020.arc,st0213ev020.arc,4,
0,,"ヒルティ、いつもは静かな子なのに
ああして、しきりに鳴いているの","Hilty, usually a quiet little guy,
is making a lot of noise like that.",ui\00_message\event\st0213\ev020.gmd,\event\st0213\st0213ev020.arc,st0213ev020.arc,5,
0,,"隊長、気づいた？
南の方角を向いて鳴いているでしょ？","Captain, did you notice?
He's facing south and crying out, right?",ui\00_message\event\st0213\ev020.gmd,\event\st0213\st0213ev020.arc,st0213ev020.arc,6,
0,,"ちょうど、南の森で何かが起きている
という報告が入っているの","We've just received reports of something
happening in the southern forest.",ui\00_message\event\st0213\ev020.gmd,\event\st0213\st0213ev020.arc,st0213ev020.arc,7,
0,,それは――良くないこと？,Is that... bad?,ui\00_message\event\st0213\ev020.gmd,\event\st0213\st0213ev020.arc,st0213ev020.arc,8,
0,,さあ――行ってみないとね,"Well then, let's go check it out.",ui\00_message\event\st0213\ev020.gmd,\event\st0213\st0213ev020.arc,st0213ev020.arc,9,
0,,覚者の力の源は竜力なんだ,The source of the Arisen's power is Dragon Force.,ui\00_message\event\st0213\ev025.gmd,\event\st0213\st0213ev025.arc,st0213ev025.arc,0,
0,,"だから、竜が力を失うと
覚者も力を失う","So, if the dragons lose their power,
the Arisen will lose theirs as well.",ui\00_message\event\st0213\ev025.gmd,\event\st0213\st0213ev025.arc,st0213ev025.arc,1,
0,,"遅かれ早かれ、覚者全員に同じことが
起こるんだと思う","Sooner or later, I have a feeling
the same thing will happen to all Arisen.",ui\00_message\event\st0213\ev025.gmd,\event\st0213\st0213ev025.arc,st0213ev025.arc,2,
0,,隊長、エリオット、おまえらはどうだ？,"Captain, Elliot, how about you?",ui\00_message\event\st0213\ev025.gmd,\event\st0213\st0213ev025.arc,st0213ev025.arc,3,
0,,俺は幸い、まだ大丈夫ですよ,"Luck is on my side, I'm still fine.",ui\00_message\event\st0213\ev025.gmd,\event\st0213\st0213ev025.arc,st0213ev025.arc,4,
0,,そりゃ良かった、あとは頼むわ,"That's good, so I'll leave the rest to you.",ui\00_message\event\st0213\ev025.gmd,\event\st0213\st0213ev025.arc,st0213ev025.arc,5,
0,,ガルドリン！,Gurdolin!,ui\00_message\event\st0213\ev025.gmd,\event\st0213\st0213ev025.arc,st0213ev025.arc,6,
0,,ああ、レオの使いだな？,"Ah, Leo sent you, didn't he?",ui\00_message\event\st0400\ev013.gmd,\event\st0400\st0400ev013.arc,st0400ev013.arc,0,
0,,"なるほどこれを砦に――ああ、助かるよ
礼を言っておいてくれ","I see, in the fortress... Yes.
I appreciate it. Thank him for me.",ui\00_message\event\st0400\ev013.gmd,\event\st0400\st0400ev013.arc,st0400ev013.arc,1,
0,,"ところで、見ない顔だな
いや、このあいだの増援部隊に参加していただろう？","By the way, you have an unfamiliar face.
Nay, you must have joined the reinforcements
the other day, right?",ui\00_message\event\st0400\ev013.gmd,\event\st0400\st0400ev013.arc,st0400ev013.arc,2,
0,,"――なるほど――そうか――
あれは面目なかった――","Oh, I see... Ah...
That was shameful...",ui\00_message\event\st0400\ev013.gmd,\event\st0400\st0400ev013.arc,st0400ev013.arc,3,
0,,むろん、白竜の回復が進まずその結果――,"Naturally, as a result
of the White Dragon's slow recovery...",ui\00_message\event\st0400\ev013.gmd,\event\st0400\st0400ev013.arc,st0400ev013.arc,4,
0,,"大地の力は弱まり、オークどもの勢いが
増してきている","The lands power is weakening,
and the momentum of the orcs is increasing.",ui\00_message\event\st0400\ev013.gmd,\event\st0400\st0400ev013.arc,st0400ev013.arc,5,
0,,とは言えこの状況、なんとか打開しなくては！,"But, even in this situation,
we must find a way to break through!",ui\00_message\event\st0400\ev013.gmd,\event\st0400\st0400ev013.arc,st0400ev013.arc,6,
0,,"そのためにはおまえのような活きのいい
覚者にこそ、力を存分に発揮してほしいのだ","For that reason, I want willful Arisen like you
to make the most of your abilities.",ui\00_message\event\st0400\ev013.gmd,\event\st0400\st0400ev013.arc,st0400ev013.arc,7,
0,,"レオがおまえをよこしたのも
きっと、顔つなぎのつもりだろう","Leo probably sent you here
as a mere pawn, I'm sure.",ui\00_message\event\st0400\ev013.gmd,\event\st0400\st0400ev013.arc,st0400ev013.arc,8,
0,,"早速だが、砦を出て川沿いに進んでくれ
橋の近くの洞窟に厄介な魔物が出現するのだ","Hurry, leave the fortress
and proceed along the river.
There's a troublesome monster
that appears near the bridge in a cave.",ui\00_message\event\st0400\ev013.gmd,\event\st0400\st0400ev013.arc,st0400ev013.arc,9,
0,,"その魔物を、任せる
討伐して、あの一帯の安全を確保してくれ","I'll leave that monster to you.
Defeat it and secure that area.",ui\00_message\event\st0400\ev013.gmd,\event\st0400\st0400ev013.arc,st0400ev013.arc,10,
0,,ヴァネッサ、この地図に心当たりはないかい？,"Vanessa, does this map remind you of anything?",ui\00_message\event\st0400\ev020.gmd,\event\st0400\st0400ev020.arc,st0400ev020.arc,0,
0,,レオが残したものらしいんだ,It seems to be something left by Leo.,ui\00_message\event\st0400\ev020.gmd,\event\st0400\st0400ev020.arc,st0400ev020.arc,1,
0,,ほう――破れているようだが,Oh? It's been torn.,ui\00_message\event\st0400\ev020.gmd,\event\st0400\st0400ev020.arc,st0400ev020.arc,2,
0,,そう、だからこの地図に関する手がかりが欲しい,Indeed. That's why this map may be our lead.,ui\00_message\event\st0400\ev020.gmd,\event\st0400\st0400ev020.arc,st0400ev020.arc,3,
0,,レオから何か聞いてないかな,Have you heard anything from Leo?,ui\00_message\event\st0400\ev020.gmd,\event\st0400\st0400ev020.arc,st0400ev020.arc,4,
0,,"何も――
ただ、レオのことだ","Not a thing.
Just about Leo himself.",ui\00_message\event\st0400\ev020.gmd,\event\st0400\st0400ev020.arc,st0400ev020.arc,5,
0,,"解決すべき問題、やり残した任務――
そういうものの記録かもしれない","Maybe it's records of unresolved issues,
unfinished missions.",ui\00_message\event\st0400\ev020.gmd,\event\st0400\st0400ev020.arc,st0400ev020.arc,6,
0,,"レオが愛用していた、名のある装備が
隠してあるとか？","Is it hidden, the renowned equipment
that Leo used to favor?",ui\00_message\event\st0400\ev020.gmd,\event\st0400\st0400ev020.arc,st0400ev020.arc,7,
0,,"友の遺品を金に変える気か？
浅ましいぞ","Are you trying to sell off
your friend's belongings for gold?
That's low.",ui\00_message\event\st0400\ev020.gmd,\event\st0400\st0400ev020.arc,st0400ev020.arc,8,
0,,誤解！　誤解だって！,You're wrong! You misunderstand!,ui\00_message\event\st0400\ev020.gmd,\event\st0400\st0400ev020.arc,st0400ev020.arc,9,
0,,隊長、ひとつ頼まれてくれないか,"Captain, can I ask this favor of you?",ui\00_message\event\st0400\ev020.gmd,\event\st0400\st0400ev020.arc,st0400ev020.arc,10,
0,,"レオがアジトとしていた場所に
手がかりがあるかも知れない","There might be a clue at the place Leo used
as a hideout.",ui\00_message\event\st0400\ev020.gmd,\event\st0400\st0400ev020.arc,st0400ev020.arc,11,
0,,さすが覚者,As expected of an Arisen.,ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,0,
0,,気づいたな,"You noticed, huh?",ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,1,
0,,怪しい者じゃない――,I'm not a suspicious person...,ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,2,
0,,"と言っても、この状況では
信じてもらえないか――","Even so, in this situation,
there's no way you'll believe me.",ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,3,
0,,"まあ、じゅうぶんに怪しいだろうが
少なくとも、悪意はない","Well, I'm suspicious enough.
At the very least, I harbor no ill will.",ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,4,
0,,誰も騙さず――,I shall not deceive you...,ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,5,
0,,誰も傷つけず――,I seek no harm...,ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,6,
0,,ただ、メイリーフを心配している,I have only concern for Mayleaf.,ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,7,
0,,そう――,That's right...,ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,8,
0,,"あの子を神殿から
連れだしたのは",The one who took her from the temple...,ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,9,
0,,僕だ,T'was I.,ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,10,
0,,"ほら、きみたちがアークと
呼んでいるアレ――",That thing you call the Ark...,ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,11,
0,,あれは、きわめて危険なものでね,They are extremely dangerous.,ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,12,
0,,あの子を引き離しておきたかった,I wanted to keep that child away from it.,ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,13,
0,,"いや、今のところは
それほど心配しなくていい","No, not at the moment. Don't worry so much.",ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,14,
0,,"メイリーフが無事でいる限り
あれは無害だ","As long as Mayleaf is kept safe,
what I've done is harmless.",ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,15,
0,,だから、メイリーフを――,"So, Mayleaf...",ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,16,
0,,よし――きみが守れ,"Alright, you'll protect her.",ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,17,
0,,約束だ,Promise.,ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,18,
0,,おい、早く来てくれ,"Hey, hurry up.",ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,19,
0,,"ゲルト様、ゲルト様
次はお歌を聞いてくださいな！","Ser Gerd, Ser Gerd,
Next, please listen to this song!",ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,20,
0,,"あの子の相手を頼む
頭がどうにかなりそうだ","I'll let you deal with her.
My head is about to explode.",ui\00_message\event\st0401\ev005.gmd,\event\st0401\st0401ev005.arc,st0401ev005.arc,21,
0,,まさか、メイリーフ嬢はこいつに！？,"No way, Miss Mayleaf is with this guy!?",ui\00_message\event\st0401\ev010.gmd,\event\st0401\st0401ev010.arc,st0401ev010.arc,0,
0,,ゲルト様！,Ser Gerd!,ui\00_message\event\st0401\ev010.gmd,\event\st0401\st0401ev010.arc,st0401ev010.arc,1,
0,,"来てくれたんですね！？
ありがとうございます！",You came! Thank you!,ui\00_message\event\st0401\ev010.gmd,\event\st0401\st0401ev010.arc,st0401ev010.arc,2,
0,,早くここから出ましょう,Let's get out of here.,ui\00_message\event\st0401\ev010.gmd,\event\st0401\st0401ev010.arc,st0401ev010.arc,3,
0,,"しかしメイリーフ嬢――
なぜ、こんな――","But Miss Mayleaf...
Why, like this...",ui\00_message\event\st0401\ev010.gmd,\event\st0401\st0401ev010.arc,st0401ev010.arc,4,
0,,"森に呼ばれた気がして
ふらりと出たら、つい――","I felt like the forest was calling me,
and I ventured out, but...",ui\00_message\event\st0401\ev010.gmd,\event\st0401\st0401ev010.arc,st0401ev010.arc,5,
0,,つい奥まで入ってしまって――,I wandered a bit too far...,ui\00_message\event\st0401\ev010.gmd,\event\st0401\st0401ev010.arc,st0401ev010.arc,6,
0,,そうしたら――,"And then, and then...!",ui\00_message\event\st0401\ev010.gmd,\event\st0401\st0401ev010.arc,st0401ev010.arc,7,
0,,"怖ろしいトロールのうなり声が
聞こえたんです――","I heard the terrifying roar of a troll, no less...",ui\00_message\event\st0401\ev010.gmd,\event\st0401\st0401ev010.arc,st0401ev010.arc,8,
0,,"びっくりして逃げているうちに
すっかり迷ってしまって","I got scared and started running,
and I got completely lost.",ui\00_message\event\st0401\ev010.gmd,\event\st0401\st0401ev010.arc,st0401ev010.arc,9,
0,,"ふむ――
無事だったのは本当に幸運でしたな","Hmph!
You were really lucky to come out unscathed.",ui\00_message\event\st0401\ev010.gmd,\event\st0401\st0401ev010.arc,st0401ev010.arc,10,
0,,"いいえ、ゲルト様と白騎団の皆様が
来てくださったからです","No, ser. It's thanks to Ser Gerd
and the White Knights who've come to my aid.",ui\00_message\event\st0401\ev010.gmd,\event\st0401\st0401ev010.arc,st0401ev010.arc,11,
0,,さあ、行きましょう？,"Now, let's be off!",ui\00_message\event\st0401\ev010.gmd,\event\st0401\st0401ev010.arc,st0401ev010.arc,12,
0,,"俺の砦によくきたな
目的は――これか？","So, you dare to come to my fort. Is it for this?",ui\00_message\event\st0402\ev000.gmd,\event\st0402\st0402ev000.arc,st0402ev000.arc,0,
0,,"ほう――願いが通じたようだ
迎えに来たぞ、優男","Hmm, it seems the wish has been granted.
I've come to pick you up, young man.",ui\00_message\event\st0402\ev000.gmd,\event\st0402\st0402ev000.arc,st0402ev000.arc,1,
0,,"ははっ！　泣ける話だ――
が、命を差し出すほどの価値があるのか？","Haha! It's a touching story...
But is it worth giving up your life for?",ui\00_message\event\st0402\ev000.gmd,\event\st0402\st0402ev000.arc,st0402ev000.arc,2,
0,,オークにはわかるまい,Orcs will never understand.,ui\00_message\event\st0402\ev000.gmd,\event\st0402\st0402ev000.arc,st0402ev000.arc,3,
0,,"ふははは――知りたくもない
オークで良かった","Hahaha! I don't want to know about it.
I'm glad I'm an orc.",ui\00_message\event\st0402\ev000.gmd,\event\st0402\st0402ev000.arc,st0402ev000.arc,4,
0,,"悪いがオークの大将よ
もう限界だ――鼻が曲がる","Sorry, commander.
I've reached my limit—the stench is too much.",ui\00_message\event\st0402\ev000.gmd,\event\st0402\st0402ev000.arc,st0402ev000.arc,5,
0,,ぐほッ――,Ugh—,ui\00_message\event\st0402\ev005.gmd,\event\st0402\st0402ev005.arc,st0402ev005.arc,0,
0,,命が――,My life—,ui\00_message\event\st0402\ev005.gmd,\event\st0402\st0402ev005.arc,st0402ev005.arc,1,
0,,漏れる――,Is slipping away—,ui\00_message\event\st0402\ev005.gmd,\event\st0402\st0402ev005.arc,st0402ev005.arc,2,
0,,キースヒルト――,Kieshildt—,ui\00_message\event\st0402\ev005.gmd,\event\st0402\st0402ev005.arc,st0402ev005.arc,3,
0,,俺達の神殿に招待する,We invite you to our temple.,ui\00_message\event\st0402\ev005.gmd,\event\st0402\st0402ev005.arc,st0402ev005.arc,4,
0,,やあ――,Hello—,ui\00_message\event\st0403\ev000.gmd,\event\st0403\st0403ev000.arc,st0403ev000.arc,0,
0,,"神殿の先輩たちには
気づかれていないよね？","Your temple seniors haven't noticed you,
have they?",ui\00_message\event\st0403\ev000.gmd,\event\st0403\st0403ev000.arc,st0403ev000.arc,1,
0,,"あの人たちは
規則とか前例がないとか――","Those people...
there are no rules or precedents...",ui\00_message\event\st0403\ev000.gmd,\event\st0403\st0403ev000.arc,st0403ev000.arc,2,
0,,"頭が固いからね
知られると面倒なことに――","Because they are stubborn.
It would be troublesome if it became known...",ui\00_message\event\st0403\ev000.gmd,\event\st0403\st0403ev000.arc,st0403ev000.arc,3,
0,,"クラウス――
そう悪く言うものではない","Klaus...
I don't mean to speak ill of them.",ui\00_message\event\st0403\ev000.gmd,\event\st0403\st0403ev000.arc,st0403ev000.arc,4,
0,,ゲルト白騎団長！,Captain Gerd of the White Knights!,ui\00_message\event\st0403\ev000.gmd,\event\st0403\st0403ev000.arc,st0403ev000.arc,5,
0,,"貴殿たちの護衛だ
ジョゼフ殿に頼まれてな","I'm your escort, at the request of Master Joseph.",ui\00_message\event\st0403\ev000.gmd,\event\st0403\st0403ev000.arc,st0403ev000.arc,6,
0,,こっちは、レオに頼まれてさ,I'm here because Leo asked me to.,ui\00_message\event\st0403\ev000.gmd,\event\st0403\st0403ev000.arc,st0403ev000.arc,7,
0,,"あはは――
やっぱりそうなるか",Haha— I knew it would be like this.,ui\00_message\event\st0403\ev000.gmd,\event\st0403\st0403ev000.arc,st0403ev000.arc,8,
0,,言っておくけど――,But I'll tell you...,ui\00_message\event\st0403\ev000.gmd,\event\st0403\st0403ev000.arc,st0403ev000.arc,9,
0,,"アークの時みたいに
甘やかさないから","Not like during the Ark...
I won't pamper them this time.",ui\00_message\event\st0403\ev000.gmd,\event\st0403\st0403ev000.arc,st0403ev000.arc,10,
0,,さあ、クラウス、どうするの？,"Now, Klaus, what are you going to do?",ui\00_message\event\st0403\ev000.gmd,\event\st0403\st0403ev000.arc,st0403ev000.arc,11,
0,,"はいはい
それでは――","Yes, yes.
Now, then...",ui\00_message\event\st0403\ev000.gmd,\event\st0403\st0403ev000.arc,st0403ev000.arc,12,
0,,全員で《命の器》を探そう,"Let's all look for the ""Vessel of Life"" together.",ui\00_message\event\st0403\ev000.gmd,\event\st0403\st0403ev000.arc,st0403ev000.arc,13,
0,,"壷か杯のような
かたちをしているはずだ",It should be shaped like a vase or a chalice.,ui\00_message\event\st0403\ev000.gmd,\event\st0403\st0403ev000.arc,st0403ev000.arc,14,
0,,さあ、急いだ方がいい,We'd better hurry.,ui\00_message\event\st0403\ev000.gmd,\event\st0403\st0403ev000.arc,st0403ev000.arc,15,
0,,長く放置されたこの城は――,This long-abandoned castle...,ui\00_message\event\st0403\ev000.gmd,\event\st0403\st0403ev000.arc,st0403ev000.arc,16,
0,,"どちらかというと敵の支配下だ
手分けして《命の器》を見つけよう！","Is more like under the enemy's control.
We need to divide and find the ""Vessel of Life""!",ui\00_message\event\st0403\ev000.gmd,\event\st0403\st0403ev000.arc,st0403ev000.arc,17,
0,,あれだ！　あれが《命の器》！,"There it is! That's the ""Vessel of Life""!",ui\00_message\event\st0403\ev005.gmd,\event\st0403\st0403ev005.arc,st0403ev005.arc,0,
0,,図版で見たとおり！,Just like in the drawing!,ui\00_message\event\st0403\ev005.gmd,\event\st0403\st0403ev005.arc,st0403ev005.arc,1,
0,,オマイがアルケミーの継承者とな？,Are you going to become the inheritor of alchemy?,ui\00_message\event\st0403\ev005.gmd,\event\st0403\st0403ev005.arc,st0403ev005.arc,2,
0,,世継ぎなど,No need for heirs...,ui\00_message\event\st0403\ev005.gmd,\event\st0403\st0403ev005.arc,st0403ev005.arc,3,
0,,いらん！,...No need!,ui\00_message\event\st0403\ev005.gmd,\event\st0403\st0403ev005.arc,st0403ev005.arc,4,
0,,誰が誰やら――,Now who's who...,ui\00_message\event\st0403\ev005.gmd,\event\st0403\st0403ev005.arc,st0403ev005.arc,5,
0,,"覚者たちよ！
","Arisen, all of you!",ui\00_message\event\st0403\ev005.gmd,\event\st0403\st0403ev005.arc,st0403ev005.arc,6,
0,,まず我ら騎士団に任せよ！,"First, leave it to our knight order!",ui\00_message\event\st0403\ev005.gmd,\event\st0403\st0403ev005.arc,st0403ev005.arc,7,
0,,"この新手の敵の戦いぶり――
しかと検分されたし！","We have thoroughly examined
this new enemy's fighting style!",ui\00_message\event\st0403\ev005.gmd,\event\st0403\st0403ev005.arc,st0403ev005.arc,8,
0,,（息遣い）,(Breathing),ui\00_message\event\st0403\ev005.gmd,\event\st0403\st0403ev005.arc,st0403ev005.arc,9,
0,,（息遣い）,(Breathing),ui\00_message\event\st0403\ev005.gmd,\event\st0403\st0403ev005.arc,st0403ev005.arc,10,
0,,ウオオオオオォォォォッッ！,Uwaaaaaah!,ui\00_message\event\st0403\ev005.gmd,\event\st0403\st0403ev005.arc,st0403ev005.arc,11,
0,,あっ！,Ah!,ui\00_message\event\st0403\ev015.gmd,\event\st0403\st0403ev015.arc,st0403ev015.arc,0,
0,,帰ろう,Let's go back.,ui\00_message\event\st0403\ev015.gmd,\event\st0403\st0403ev015.arc,st0403ev015.arc,1,
0,,弔い――,Pay respects—,ui\00_message\event\st0403\ev015.gmd,\event\st0403\st0403ev015.arc,st0403ev015.arc,2,
0,,そして新たなる敵への対策――,And prepare for the new enemy—,ui\00_message\event\st0403\ev015.gmd,\event\st0403\st0403ev015.arc,st0403ev015.arc,3,
0,,急ぎ、神殿へ戻らねば,We need to hurry back to the temple.,ui\00_message\event\st0403\ev015.gmd,\event\st0403\st0403ev015.arc,st0403ev015.arc,4,
0,,（悔しがる）,(Regret),ui\00_message\event\st0403\ev015.gmd,\event\st0403\st0403ev015.arc,st0403ev015.arc,5,
0,,（息遣い）,(Breathing),ui\00_message\event\st0403\ev015.gmd,\event\st0403\st0403ev015.arc,st0403ev015.arc,6,
0,,,,ui\00_message\event\st0403\ev020.gmd,\event\st0403\st0403ev020.arc,st0403ev020.arc,0,
0,,"全隊、待機
これより生死の検分に入る！","All units, standby. We're about to check for signs of life!",ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,0,
0,,貴殿も一緒に来てくれ,"You, come with us.",ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,1,
0,,ぐおっ？！,Gwah?!,ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,2,
0,,うわっ？！,Whoa?!,ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,3,
0,,うわっ？！,Whoa?!,ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,4,
0,,うわっ？！,Whoa?!,ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,5,
0,,はっ！！,Hah!!,ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,6,
0,,いくら腕をあげようとも油断は命取りだ,"No matter how much you improve your skills,
complacency can be fatal.",ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,7,
0,,"レオよ――久しいな
いったい、どこにいた","Leo... It's been a while.
Where were you?",ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,8,
0,,さあ――なんとも答えにくい質問だ,Well... That's a hard question to answer.,ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,9,
0,,放浪は、いまだ誰も知らない力を求めてのこと――,"Wandering in pursuit of a power
that no one yet knows...",ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,10,
0,,"しかし、それは何かと問われても
まだ答えを知らない上に――","But even if I were asked what it is,
I still do not know.",ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,11,
0,,"目下、オレの興味は、フィンダムと呼ばれる
まだ見ぬ大陸にある","Currently, my interest brings me to
a yet-unseen continent called Phindym.",ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,12,
0,,てめえ、どうしてフィンダムを知っていやがる？,Why do you know about Phindym?,ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,13,
0,,"友人から聞いた
フィンダムから来た、ロイグという男だ","I heard from a friend about a man named Loeg
who came from Phindym.",ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,14,
0,,セシリーだな？,Is it Cecily?,ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,15,
0,,"一緒に""飛ばされた""若い娘がいることは
ロイグから聞いている","There's a young girl who was ""sent""
together with him, right?",ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,16,
0,,セシリー、ロイグって知ってる？,"Cecily, do you know Loeg?",ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,17,
0,,その、ロイグに会わせてください,I want to meet Loeg.,ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,18,
0,,今は無理だと答えておこう,"For now, let's answer that it's impossible.",ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,19,
0,,"わたしには果たすべき役割があるはずです
その人が、知っているかもしれません","There should be a role for me to fulfill.
That person might know about it.",ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,20,
0,,"記憶を取り戻すきっかけを
くれるかもしれません！","They might give me the opportunity
to regain my memories!",ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,21,
0,,少し時間をおこう,Let's wait a bit.,ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,22,
0,,"おまえの目には、ある種の輝きが宿っている
いや、熱で潤んでいるとでも言えばいいのか――","Your eyes hold a certain kind of radiance,
or should I say they're filled with passion...",ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,23,
0,,"かつて、ふたりの女の目に
同じ輝きを見たことがある","I've seen the same radiance
in the eyes of two women.",ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,24,
0,,イリス――ミシアル――,"Iris... 
Mysial...",ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,25,
0,,ふん！,Hmph!,ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,26,
0,,ふたりとも、運命に殉じるかのように、死んでいった,"Both of them died...
As if they were sacrificed to fate.",ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,27,
0,,わたしには関係のないことです！,This has nothing to do with me!,ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,28,
0,,"頭を冷やして出直して来い――
今はそう言うしかない","Calm down and come back later.
That's all I can say for now.",ui\00_message\event\st0403\ev025.gmd,\event\st0403\st0403ev025.arc,st0403ev025.arc,29,
0,,あれを見ろ！,Look there!,ui\00_message\event\st0404\ev000.gmd,\event\st0404\st0404ev000.arc,st0404ev000.arc,0,
0,,くそっ！　優男を死なせるな！,Damn it! Don't let him die!,ui\00_message\event\st0404\ev000.gmd,\event\st0404\st0404ev000.arc,st0404ev000.arc,1,
0,,逃がすな！　　捕まえろ！,Don't let him escape! Catch him!,ui\00_message\event\st0404\ev000.gmd,\event\st0404\st0404ev000.arc,st0404ev000.arc,2,
0,,おい、頼んだぞ！,"Hey, I'm counting on you!",ui\00_message\event\st0404\ev000.gmd,\event\st0404\st0404ev000.arc,st0404ev000.arc,3,
0,,（息遣い）,(Breathing),ui\00_message\event\st0404\ev000.gmd,\event\st0404\st0404ev000.arc,st0404ev000.arc,4,
